code,name,swatch,iscool
G88-011-094,Resene Quarter Linen,jpegs/Resene_Quarter_Linen.jpg,true
R60-030-030,Resene Quarter Lumberjack,jpegs/Resene_Quarter_Lumberjack.jpg,true
BR79-019-069,Resene Quarter Malta,jpegs/Resene_Quarter_Malta.jpg,true
Y81-013-083,Resene Quarter Napa,jpegs/Resene_Quarter_Napa.jpg,true
N81-008-221,Resene Quarter Powder Blue,jpegs/Resene_Quarter_Powder_Blue.jpg,true
BR75-013-078,Resene Quarter Pravda,jpegs/Resene_Quarter_Pravda.jpg,true
BR69-010-071,Resene Quarter Sandstone,jpegs/Resene_Quarter_Sandstone.jpg,true
N69-001-223,Resene Quarter Scarpa Flow,jpegs/Resene_Quarter_Scarpa_Flow.jpg,true
BR75-009-075,Resene Quarter Stonehenge,jpegs/Resene_Quarter_Stonehenge.jpg,true
Y72-017-084,Resene Quarter Stonewall,jpegs/Resene_Quarter_Stonewall.jpg,true
G77-008-093,Resene Quarter Taupe Grey,jpegs/Resene_Quarter_Taupe_Grey.jpg,true
Y89-010-084,Resene Quarter Tea,jpegs/Resene_Quarter_Tea.jpg,true
N87-007-077,Resene Quarter Truffle,jpegs/Resene_Quarter_Truffle.jpg,true
N84-008-097,Resene Quill Grey,jpegs/Resene_Quill_Grey.jpg,true
G30-012-182,Resene Racing Green,jpegs/Resene_Racing_Green.jpg,true
N80-002-054,Resene Rakaia,jpegs/Resene_Rakaia.jpg,true
G46-018-104,Resene Raptor,jpegs/Resene_Raptor.jpg,true
BR34-020-035,Resene Rebel,jpegs/Resene_Rebel.jpg,true
R32-055-023,Resene Red Baron,jpegs/Resene_Red_Baron.jpg,true
V28-043-285,Resene Redemption Blue,jpegs/Resene_Redemption_Blue.jpg,true
R38-041-036,Resene Redwood,jpegs/Resene_Redwood.jpg,true
N39-008-075,Resene Relic,jpegs/Resene_Relic.jpg,true
R53-035-009,Resene Renaissance,jpegs/Resene_Renaissance.jpg,true
V34-013-289,Resene Revolver,jpegs/Resene_Revolver.jpg,true
